+-------+-----+---------------------+------------------------+
| Ordem |  id |         Nome        | Distancia ate a cidade |
+-------+-----+---------------------+------------------------+
|   1   |  5  |    Alice Springs    |           0            |
|   2   |  7  |        Ararat       |   17.954609185967332   |
|   3   |  9  |       Atherton      |   40.150728941216556   |
|   4   |  10 |         Ayr         |   43.45893759878208    |
|   5   |  12 |       Ballarat      |   63.626917749730744   |
|   6   |  14 |      Barcaldine     |   79.11623755621088    |
|   7   |  16 |       Bathurst      |   90.95080546007961    |
|   8   |  18 |       Bendigo       |   97.84334969074244    |
|   9   |  17 |       Bedourie      |   112.46991725759635   |
|   10  |  19 |        Berri        |   123.45014836538286   |
|   11  |  21 |       Biloela       |   138.85144988091682   |
|   12  |  22 |      Birdsville     |   151.24176554848748   |
|   13  |  24 |      Bordertown     |   162.79844782768205   |
|   14  |  26 |        Bourke       |   171.69597244135903   |
|   15  |  25 |        Boulia       |   182.0130070457926    |
|   16  |  27 |        Bowen        |   191.72310257767458   |
|   17  |  29 |     Broken Hill     |   206.8467753326078    |
|   18  |  31 |       Bunbury       |   235.27708498528978   |
|   19  |  33 |      Burketown      |   266.6693169447758    |
|   20  |  35 |      Busselton      |   298.5298949001807    |
|   21  |  37 |      Caboolture     |   340.52220703213237   |
|   22  |  38 |        Cairns       |   354.2118082576616    |
|   23  |  40 |      Camooweal      |   363.2461593543561    |
|   24  |  42 |      Carnarvon      |   390.70038185434504   |
|   25  |  41 |       Canberra      |   431.3637125720512    |
|   26  |  43 |        Ceduna       |   448.7154546226918    |
|   27  |  45 |     Charleville     |   463.89904714386716   |
|   28  |  47 |        Clare        |   475.6139964379302    |
|   29  |  49 |        Cobram       |   483.68071883322403   |
|   30  |  51 |        Colac        |   487.1721450566863    |
|   31  |  53 |        Cowell       |   496.11469186856374   |
|   32  |  55 |      Cranbourne     |   506.5178111336873    |
|   33  |  57 |        Dalby        |   520.2106948198525    |
|   34  |  59 |      Deniliquin     |   531.7229813911529    |
|   35  |  61 |        Dubbo        |   537.1289024840972    |
|   36  |  63 |        Echuca       |   543.1575691854202    |
|   37  |  65 |       Emerald       |   557.5337267829035    |
|   38  |  66 |      Esperance      |   588.5928187610513    |
|   39  |  68 |        Forbes       |   617.3350925569972    |
|   40  |  70 |        Gawler       |   627.6072971917479    |
|   41  |  72 |      Georgetown     |   646.3086706724831    |
|   42  |  74 |        Gingin       |    679.935087136738    |
|   43  |  73 |      Geraldton      |   683.0963751721663    |
|   44  |  75 |      Gladstone      |   723.7656893240634    |
|   45  |  77 |     Goondiwindi     |   729.0387324274609    |
|   46  |  79 |       Griffith      |   736.9011289162514    |
|   47  |  80 |       Gunnedah      |   742.7884038790819    |
|   48  |  82 |     Halls Creek     |   771.3270884595266    |
|   49  |  84 |      Hervey Bay     |    800.123802970911    |
|   50  |  86 |       Horsham       |   817.3192932971128    |
|   51  |  88 |      Innisfail      |   838.8440282932784    |
|   52  |  90 |       Ivanhoe       |    855.866790109692    |
|   53  |  92 |      Kalgoorlie     |   881.0977172485723    |
|   54  |  94 |       Karumba       |   906.9179600707143    |
|   55  |  96 |      Katherine      |   916.9193927625594    |
|   56  |  95 |      Katanning      |   943.5419223788467    |
|   57  |  97 |       Katoomba      |   979.5706004104173    |
|   58  |  99 |        Kiama        |   980.7778923028527    |
|   59  | 100 |        Kimba        |   996.7432414824021    |
|   60  | 102 |      Kingoonya      |   999.4990751375648    |
|   61  | 104 | Kingston South East |   1007.7230822927289   |
|   62  | 106 |       Kwinana       |   1034.6803730828742   |
|   63  | 108 |       Laverton      |   1042.9701849261435   |
|   64  | 110 |       Leonora       |   1044.1799413578738   |
|   65  | 112 |      Longreach      |   1070.0914672113684   |
|   66  | 114 |       Manjimup      |   1103.2091613792445   |
|   67  | 116 |     Maryborough     |   1133.7184663669423   |
|   68  | 118 |     Meekatharra     |   1163.7735506826386   |
|   69  | 120 |        Melton       |   1194.9583829138764   |
|   70  | 122 |       Merredin      |   1224.693736107296    |
|   71  | 121 |       Meningie      |   1248.3219369729209   |
|   72  | 123 |       Mildura       |   1251.8407984851829   |
|   73  | 125 |        Morawa       |   1281.1261031930626   |
|   74  | 127 |     Mount Barker    |   1287.3581433846293   |
|   75  | 129 |      Mount Isa      |   1315.8302502372549   |
|   76  | 130 |     Mount Magnet    |   1340.9746988111247   |
|   77  | 132 |    Murray Bridge    |   1365.7864571040163   |
|   78  | 134 |    Narrabri West    |   1378.456475464791    |
|   79  | 133 |     Muswellbrook    |   1380.9201821302154   |
|   80  | 135 |       Narrogin      |   1418.011250105492    |
|   81  | 137 |        Newman       |   1428.8724433840725   |
|   82  | 138 |       Norseman      |   1438.8148140125052   |
|   83  | 140 |     North Mackay    |   1471.3309555038593   |
|   84  | 142 |       Northam       |   1508.9210063446792   |
|   85  | 141 |   North Scottsdale  |   1544.4566928654156   |
|   86  | 143 |        Nowra        |   1552.0896878127755   |
|   87  | 145 |        Onslow       |   1593.7583209596905   |
|   88  | 147 |        Ouyen        |   1627.1371737555082   |
|   89  | 149 |     Pannawonica     |   1659.326270069085    |
|   90  | 151 |        Penola       |   1691.3698092207103   |
|   91  | 153 |     Peterborough    |   1696.6877057139802   |
|   92  | 155 |  Port Augusta West  |   1698.0024399873646   |
|   93  | 157 |     Port Douglas    |   1717.5422348969091   |
|   94  | 159 |     Port Lincoln    |   1740.214203774952    |
|   95  | 161 |      Port Pirie     |   1743.1135458285885   |
|   96  | 162 |       Portland      |   1750.027830016606    |
|   97  | 164 |      Queanbeyan     |   1759.041510244114    |
|   98  | 166 |       Quilpie       |   1770.0985333522322   |
|   99  | 168 |       Richmond      |   1776.6851793602968   |
|  100  | 170 |     Rockhampton     |   1785.2916651436249   |
|  101  | 172 |         Roma        |   1789.2746063962936   |
|  102  | 171 |      Roebourne      |   1824.6586869090893   |
|  103  | 173 |         Sale        |   1862.699100281933    |
|  104  | 175 |       Seymour       |    1865.13309643555    |
|  105  | 176 |      Shepparton     |   1865.8989392278206   |
|  106  | 178 |       Smithton      |   1870.8200945936753   |
|  107  | 180 |     South Ingham    |   1895.2624232671162   |
|  108  | 182 |    Southern Cross   |   1927.8698957673096   |
|  109  | 184 |     Streaky Bay     |   1944.3376060616254   |
|  110  | 186 |      Swan Hill      |   1954.9855941436053   |
|  111  | 185 |       Sunbury       |   1957.766348256136    |
|  112  | 187 |        Sydney       |   1965.9826069772184   |
|  113  | 189 |     Thargomindah    |   1976.3543457371113   |
|  114  | 191 |    Three Springs    |   2007.2704314822056   |
|  115  | 192 |      Tom Price      |   2015.117401627371    |
|  116  | 194 |      Townsville     |   2047.2591670261424   |
|  117  | 196 |      Tumby Bay      |   2067.6258828889418   |
|  118  | 195 |      Traralgon      |   2079.852691991088    |
|  119  | 197 |        Tumut        |   2083.536632537552    |
|  120  | 199 |      Ulladulla      |   2086.009644465256    |
|  121  | 200 |    Victor Harbor    |   2099.047374537644    |
|  122  | 202 |        Wagin        |   2122.5829671779757   |
|  123  | 204 |      Wangaratta     |   2154.6339984038063   |
|  124  | 203 |       Wallaroo      |   2164.5533535049913   |
|  125  | 205 |     Warrnambool     |   2171.792024641152    |
|  126  | 207 |        Weipa        |   2200.134076898828    |
|  127  | 209 |       Whyalla       |   2223.080268176927    |
|  128  | 211 |       Windorah      |   2233.1526200125086   |
|  129  | 213 |      Wollongong     |   2246.5743058592084   |
|  130  | 215 |       Woomera       |   2262.4426735180705   |
|  131  | 217 |       Yeppoon       |   2280.1353240147496   |
|  132  | 219 |        Yulara       |   2301.999731691512    |
+-------+-----+---------------------+------------------------+
