+-----+---------------------+------------------------+
|  id |         Nome        | Distancia ate a cidade |
+-----+---------------------+------------------------+
|  5  |    Alice Springs    |           0            |
|  7  |        Ararat       |   17.954609185967332   |
|  9  |       Atherton      |   40.150728941216556   |
|  10 |         Ayr         |   43.45893759878208    |
|  12 |       Ballarat      |   63.626917749730744   |
|  14 |      Barcaldine     |   79.11623755621088    |
|  16 |       Bathurst      |   90.95080546007961    |
|  18 |       Bendigo       |   97.84334969074244    |
|  17 |       Bedourie      |   112.46991725759635   |
|  19 |        Berri        |   123.45014836538286   |
|  21 |       Biloela       |   138.85144988091682   |
|  22 |      Birdsville     |   151.24176554848748   |
|  24 |      Bordertown     |   162.79844782768205   |
|  26 |        Bourke       |   171.69597244135903   |
|  25 |        Boulia       |   182.0130070457926    |
|  27 |        Bowen        |   191.72310257767458   |
|  29 |     Broken Hill     |   206.8467753326078    |
|  31 |       Bunbury       |   235.27708498528978   |
|  33 |      Burketown      |   266.6693169447758    |
|  35 |      Busselton      |   298.5298949001807    |
|  37 |      Caboolture     |   340.52220703213237   |
|  38 |        Cairns       |   354.2118082576616    |
|  40 |      Camooweal      |   363.2461593543561    |
|  42 |      Carnarvon      |   390.70038185434504   |
|  41 |       Canberra      |   431.3637125720512    |
|  43 |        Ceduna       |   448.7154546226918    |
|  45 |     Charleville     |   463.89904714386716   |
|  47 |        Clare        |   475.6139964379302    |
|  49 |        Cobram       |   483.68071883322403   |
|  51 |        Colac        |   487.1721450566863    |
|  53 |        Cowell       |   496.11469186856374   |
|  55 |      Cranbourne     |   506.5178111336873    |
|  57 |        Dalby        |   520.2106948198525    |
|  59 |      Deniliquin     |   531.7229813911529    |
|  61 |        Dubbo        |   537.1289024840972    |
|  63 |        Echuca       |   543.1575691854202    |
|  65 |       Emerald       |   557.5337267829035    |
|  66 |      Esperance      |   588.5928187610513    |
|  68 |        Forbes       |   617.3350925569972    |
|  70 |        Gawler       |   627.6072971917479    |
|  72 |      Georgetown     |   646.3086706724831    |
|  74 |        Gingin       |    679.935087136738    |
|  73 |      Geraldton      |   683.0963751721663    |
|  75 |      Gladstone      |   723.7656893240634    |
|  77 |     Goondiwindi     |   729.0387324274609    |
|  79 |       Griffith      |   736.9011289162514    |
|  80 |       Gunnedah      |   742.7884038790819    |
|  82 |     Halls Creek     |   771.3270884595266    |
|  84 |      Hervey Bay     |    800.123802970911    |
|  86 |       Horsham       |   817.3192932971128    |
|  88 |      Innisfail      |   838.8440282932784    |
|  90 |       Ivanhoe       |    855.866790109692    |
|  92 |      Kalgoorlie     |   881.0977172485723    |
|  94 |       Karumba       |   906.9179600707143    |
|  96 |      Katherine      |   916.9193927625594    |
|  95 |      Katanning      |   943.5419223788467    |
|  97 |       Katoomba      |   979.5706004104173    |
|  99 |        Kiama        |   980.7778923028527    |
| 100 |        Kimba        |   996.7432414824021    |
| 102 |      Kingoonya      |   999.4990751375648    |
| 104 | Kingston South East |   1007.7230822927289   |
| 106 |       Kwinana       |   1034.6803730828742   |
| 108 |       Laverton      |   1042.9701849261435   |
| 110 |       Leonora       |   1044.1799413578738   |
| 112 |      Longreach      |   1070.0914672113684   |
| 114 |       Manjimup      |   1103.2091613792445   |
| 116 |     Maryborough     |   1133.7184663669423   |
| 118 |     Meekatharra     |   1163.7735506826386   |
